date,iso_code,state,cases
2022-07-26,ES-CN,Canarias,98
2022-07-26,ES-CT,Cataluña,1226
2022-07-26,ES-EX,Extremadura,17
2022-07-26,ES-GA,Galicia,29
2022-07-26,ES-IB,Islas Baleares,88
2022-07-26,ES-MC,Murcia,13
2022-07-26,ES-MD,Madrid,1462
2022-07-26,ES-NC,Navarra,8
2022-07-26,ES-PV,País Vasco,72
2022-07-26,ES-RI,La Rioja,1
2022-07-26,ES-VC,Comunidad Valencianana,162
2022-07-29,ES-AN,Andalucía,498
2022-07-29,ES-AR,Aragón,45
2022-07-29,ES-AS,Asturias,36
2022-07-29,ES-CB,Cantabria,15
2022-07-29,ES-CL,Castilla y León,31
2022-07-29,ES-CM,Castilla-La Mancha,23
2022-07-29,ES-CN,Canarias,102
2022-07-29,ES-CT,Cataluña,1406
2022-07-29,ES-EX,Extremadura,20
2022-07-29,ES-GA,Galicia,37
2022-07-29,ES-IB,Islas Baleares,89
2022-07-29,ES-MC,Murcia,19
2022-07-29,ES-MD,Madrid,1656
2022-07-29,ES-NC,Navarra,8
2022-07-29,ES-PV,País Vasco,98
2022-07-29,ES-RI,La Rioja,2
2022-07-29,ES-VC,Comunidad Valencianana,213
2022-07-30,ES-AN,Andalucía,498
2022-07-30,ES-AR,Aragón,45
2022-07-30,ES-AS,Asturias,36
2022-07-30,ES-CB,Cantabria,15
2022-07-30,ES-CL,Castilla y León,31
2022-07-30,ES-CM,Castilla-La Mancha,23
2022-07-30,ES-CN,Canarias,102
2022-07-30,ES-CT,Cataluña,1406
2022-07-30,ES-EX,Extremadura,20
2022-07-30,ES-GA,Galicia,37
2022-07-30,ES-IB,Islas Baleares,89
2022-07-30,ES-MC,Murcia,19
2022-07-30,ES-MD,Madrid,1656
2022-07-30,ES-NC,Navarra,8
2022-07-30,ES-PV,País Vasco,98
2022-07-30,ES-RI,La Rioja,2
2022-07-30,ES-VC,Comunidad Valencianana,213
2022-08-02,ES-AN,Andalucía,545
2022-08-02,ES-AR,Aragón,45
2022-08-02,ES-AS,Asturias,41
2022-08-02,ES-CB,Cantabria,15
2022-08-02,ES-CL,Castilla y León,33
2022-08-02,ES-CM,Castilla-La Mancha,23
2022-08-02,ES-CN,Canarias,107
2022-08-02,ES-CT,Cataluña,1463
2022-08-02,ES-EX,Extremadura,20
2022-08-02,ES-GA,Galicia,42
2022-08-02,ES-IB,Islas Baleares,89
2022-08-02,ES-MC,Murcia,23
2022-08-02,ES-MD,Madrid,1766
2022-08-02,ES-NC,Navarra,11
2022-08-02,ES-PV,País Vasco,115
2022-08-02,ES-RI,La Rioja,3
2022-08-02,ES-VC,Comunidad Valencianana,236
2022-08-12,Los casos notificados proceden de,17 Comunidades Autónomas ver figura,1
2022-08-16,Los casos notificados proceden de,17 comunidades autónomas
2022-08-19,Los casos notificados proceden de,17 Comunidades Autónomas ver figura,1
2022-08-23,Los casos notificados proceden de,17 comunidades autónomas
